boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.551913 Main     buffer_pool.h:26] BufferPool[IOUring[1]-0]: Allocate new buffer, current buffer count is 1
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.551916 Main     io_uring.cpp:123] io_uring[1]: register fd 13, 2 registered fds in total
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.551918 Main     buffer_pool.h:26] BufferPool[IOUring[1]-0]: Allocate new buffer, current buffer count is 2
boki-experiment_slog-engine.1.vfelkbsaf3g9@christina    | I0801 16:34:31.551966 IO-1/EL  thread.cpp:62] Start thread: IO-1/EL (tid=11)
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.228963 Main     server_base.cpp:160] ServerBase: Start 4 IO workers
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.228964 ZK/EL    thread.cpp:62] Start thread: ZK/EL (tid=7)
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.229210 Main     io_uring.cpp:70] io_uring[0]: register 4096 fd slots
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.229356 Main     io_uring.cpp:123] io_uring[0]: register fd 10, 1 registered fds in total
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.229371 Main     buffer_pool.h:26] BufferPool[IOUring[0]-0]: Allocate new buffer, current buffer count is 1
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.229405 Main     io_uring.cpp:123] io_uring[0]: register fd 9, 2 registered fds in total
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.229410 Main     buffer_pool.h:26] BufferPool[IOUring[0]-0]: Allocate new buffer, current buffer count is 2
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.229469 IO-0/EL  thread.cpp:62] Start thread: IO-0/EL (tid=8)
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.229538 IO-0/EL  io_worker.cpp:167] IO-0: Event loop starts
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.229667 Main     io_uring.cpp:70] io_uring[1]: register 4096 fd slots
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.229795 Main     io_uring.cpp:123] io_uring[1]: register fd 14, 1 registered fds in total
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.229800 Main     buffer_pool.h:26] BufferPool[IOUring[1]-0]: Allocate new buffer, current buffer count is 1
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.229804 Main     io_uring.cpp:123] io_uring[1]: register fd 13, 2 registered fds in total
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.229805 Main     buffer_pool.h:26] BufferPool[IOUring[1]-0]: Allocate new buffer, current buffer count is 2
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | I0801 16:34:20.229846 IO-1/EL  thread.cpp:62] Start thread: IO-1/EL (tid=11)
